DATE,CANQGSP
2005-01-01,1657292.4
2005-04-01,1680340.0
2005-07-01,1715935.1
2005-10-01,1740674.1
2006-01-01,1789641.0
2006-04-01,1797006.6
2006-07-01,1820211.6
2006-10-01,1841980.7
2007-01-01,1855811.4
2007-04-01,1883992.9
2007-07-01,1910858.6
2007-10-01,1944945.1
2008-01-01,1920582.3
2008-04-01,1964303.1
2008-07-01,1976074.2
2008-10-01,1917821.8
2009-01-01,1910813.6
2009-04-01,1881658.2
2009-07-01,1876005.3
2009-10-01,1892186.4
2010-01-01,1919069.0
2010-04-01,1937908.1
2010-07-01,1953261.5
2010-10-01,2006132.2
2011-01-01,2007608.8
2011-04-01,2022198.7
2011-07-01,2027032.7
2011-10-01,2037160.0
2012-01-01,2079759.5
2012-04-01,2094742.1
2012-07-01,2118154.5
2012-10-01,2159729.7
2013-01-01,2167627.5
2013-04-01,2191853.4
2013-07-01,2228668.7
2013-10-01,2293409.9
2014-01-01,2277808.7
2014-04-01,2315807.3
2014-07-01,2367246.4
2014-10-01,2380283.6
2015-01-01,2434212.2
2015-04-01,2476522.9
2015-07-01,2489391.9
2015-10-01,2494096.5
2016-01-01,2533323.0
2016-04-01,2546150.8
2016-07-01,2586282.9
2016-10-01,2612779.4
2017-01-01,2654787.0
2017-04-01,2703279.0
2017-07-01,2755120.9
2017-10-01,2810708.8
2018-01-01,2825572.2
2018-04-01,2887291.4
2018-07-01,2920467.6
2018-10-01,2947072.8
2019-01-01,2981815.4
2019-04-01,3045351.6
2019-07-01,3072533.7
2019-10-01,3110880.2
2020-01-01,3083611.2
2020-04-01,2801946.6
2020-07-01,3042208.0
2020-10-01,3100984.9
2021-01-01,3207138.8
2021-04-01,3321704.1
2021-07-01,3384335.2
2021-10-01,3513347.5
2022-01-01,3568888.3
