DATE,DENQGSP
2005-01-01,51134.7
2005-04-01,50162.3
2005-07-01,50425.6
2005-10-01,56891.4
2006-01-01,54409.2
2006-04-01,55739.2
2006-07-01,55526.0
2006-10-01,55023.1
2007-01-01,56034.8
2007-04-01,57700.2
2007-07-01,56609.6
2007-10-01,56106.7
2008-01-01,55475.9
2008-04-01,55732.2
2008-07-01,55809.7
2008-10-01,54821.4
2009-01-01,57564.0
2009-04-01,58199.2
2009-07-01,58359.1
2009-10-01,57276.4
2010-01-01,58298.1
2010-04-01,57410.5
2010-07-01,58009.6
2010-10-01,58935.9
2011-01-01,60135.2
2011-04-01,61038.5
2011-07-01,62238.0
2011-10-01,62077.2
2012-01-01,63329.8
2012-04-01,62626.2
2012-07-01,62261.2
2012-10-01,61201.3
2013-01-01,60525.2
2013-04-01,60609.2
2013-07-01,61348.8
2013-10-01,64381.5
2014-01-01,65239.4
2014-04-01,67846.9
2014-07-01,69743.9
2014-10-01,70588.6
2015-01-01,71813.8
2015-04-01,73499.3
2015-07-01,71454.0
2015-10-01,70888.6
2016-01-01,69118.4
2016-04-01,69628.6
2016-07-01,69281.8
2016-10-01,69391.1
2017-01-01,69230.2
2017-04-01,67758.7
2017-07-01,68821.6
2017-10-01,69244.6
2018-01-01,70437.8
2018-04-01,71757.9
2018-07-01,73528.1
2018-10-01,74228.2
2019-01-01,75399.3
2019-04-01,76794.5
2019-07-01,77620.6
2019-10-01,78354.3
2020-01-01,77074.2
2020-04-01,71818.2
2020-07-01,76815.0
2020-10-01,77438.6
2021-01-01,77392.3
2021-04-01,79728.2
2021-07-01,81546.4
2021-10-01,84206.0
2022-01-01,85220.0
