DATE,NHNQGSP
2005-01-01,56222.1
2005-04-01,56782.3
2005-07-01,57276.7
2005-10-01,57529.5
2006-01-01,58644.2
2006-04-01,59049.2
2006-07-01,60034.2
2006-10-01,62340.5
2007-01-01,60797.1
2007-04-01,62467.8
2007-07-01,61786.7
2007-10-01,62076.9
2008-01-01,62118.7
2008-04-01,61836.0
2008-07-01,61760.0
2008-10-01,61086.2
2009-01-01,61561.6
2009-04-01,61610.9
2009-07-01,63358.7
2009-10-01,63560.2
2010-01-01,63357.3
2010-04-01,65195.3
2010-07-01,65346.0
2010-10-01,65475.7
2011-01-01,64732.3
2011-04-01,66068.2
2011-07-01,66262.9
2011-10-01,67549.2
2012-01-01,67319.4
2012-04-01,68064.4
2012-07-01,68839.8
2012-10-01,69768.7
2013-01-01,70006.4
2013-04-01,69985.7
2013-07-01,70624.8
2013-10-01,71287.9
2014-01-01,70883.2
2014-04-01,72798.2
2014-07-01,73170.1
2014-10-01,75129.4
2015-01-01,74430.9
2015-04-01,76299.6
2015-07-01,76663.1
2015-10-01,78518.3
2016-01-01,78025.9
2016-04-01,79076.7
2016-07-01,79724.4
2016-10-01,79533.5
2017-01-01,79674.5
2017-04-01,79826.7
2017-07-01,81529.1
2017-10-01,81633.1
2018-01-01,82981.9
2018-04-01,83891.7
2018-07-01,84272.4
2018-10-01,84230.1
2019-01-01,86641.3
2019-04-01,87289.3
2019-07-01,87825.2
2019-10-01,88274.7
2020-01-01,89250.6
2020-04-01,80750.5
2020-07-01,88889.9
2020-10-01,91593.2
2021-01-01,92752.6
2021-04-01,98745.6
2021-07-01,99030.3
2021-10-01,102438.8
2022-01-01,104435.6
