DATE,NJNQGSP
2005-01-01,427365.4
2005-04-01,432273.2
2005-07-01,440082.2
2005-10-01,443226.0
2006-01-01,448963.6
2006-04-01,458588.6
2006-07-01,458935.4
2006-10-01,463885.0
2007-01-01,463743.3
2007-04-01,473327.8
2007-07-01,476823.9
2007-10-01,485576.5
2008-01-01,495442.6
2008-04-01,497256.9
2008-07-01,499515.2
2008-10-01,492694.0
2009-01-01,483644.7
2009-04-01,478404.2
2009-07-01,482011.4
2009-10-01,485775.1
2010-01-01,489825.5
2010-04-01,491519.3
2010-07-01,495253.1
2010-10-01,494451.7
2011-01-01,487799.7
2011-04-01,494139.4
2011-07-01,497243.6
2011-10-01,504680.6
2012-01-01,513255.1
2012-04-01,514889.1
2012-07-01,522276.0
2012-10-01,518363.1
2013-01-01,533914.9
2013-04-01,531037.8
2013-07-01,533123.6
2013-10-01,538634.9
2014-01-01,535654.2
2014-04-01,540941.0
2014-07-01,545950.7
2014-10-01,548825.3
2015-01-01,557467.4
2015-04-01,562865.5
2015-07-01,566496.2
2015-10-01,566106.2
2016-01-01,572780.6
2016-04-01,573824.9
2016-07-01,576475.7
2016-10-01,578922.7
2017-01-01,578231.6
2017-04-01,584217.0
2017-07-01,589622.3
2017-10-01,593427.6
2018-01-01,602328.1
2018-04-01,611367.3
2018-07-01,615778.7
2018-10-01,624560.6
2019-01-01,628060.0
2019-04-01,637698.3
2019-07-01,644714.2
2019-10-01,647274.3
2020-01-01,646387.5
2020-04-01,571005.6
2020-07-01,624872.7
2020-10-01,632051.2
2021-01-01,649336.4
2021-04-01,661895.3
2021-07-01,677006.3
2021-10-01,700119.5
2022-01-01,709180.5
