DATE,NYNQGSP
2005-01-01,992854.3
2005-04-01,1007577.9
2005-07-01,1023170.7
2005-10-01,1040547.3
2006-01-01,1065797.0
2006-04-01,1069826.2
2006-07-01,1071071.5
2006-10-01,1093923.6
2007-01-01,1139735.6
2007-04-01,1111408.9
2007-07-01,1114888.4
2007-10-01,1111493.1
2008-01-01,1125434.2
2008-04-01,1113503.8
2008-07-01,1122835.5
2008-10-01,1104590.7
2009-01-01,1115297.2
2009-04-01,1159539.7
2009-07-01,1172972.6
2009-10-01,1192515.7
2010-01-01,1212281.1
2010-04-01,1239431.8
2010-07-01,1225133.3
2010-10-01,1217272.5
2011-01-01,1245779.2
2011-04-01,1239973.0
2011-07-01,1244390.3
2011-10-01,1260280.6
2012-01-01,1292014.6
2012-04-01,1319126.3
2012-07-01,1339392.5
2012-10-01,1362400.6
2013-01-01,1337603.4
2013-04-01,1354773.5
2013-07-01,1371706.0
2013-10-01,1398033.1
2014-01-01,1398650.6
2014-04-01,1418894.7
2014-07-01,1443978.6
2014-10-01,1462169.5
2015-01-01,1469160.0
2015-04-01,1492987.1
2015-07-01,1501956.7
2015-10-01,1486406.9
2016-01-01,1535235.7
2016-04-01,1554001.6
2016-07-01,1551177.3
2016-10-01,1565001.8
2017-01-01,1588241.9
2017-04-01,1585569.8
2017-07-01,1601633.1
2017-10-01,1640168.7
2018-01-01,1663723.9
2018-04-01,1698127.9
2018-07-01,1710831.8
2018-10-01,1707147.9
2019-01-01,1743071.6
2019-04-01,1780397.3
2019-07-01,1787251.2
2019-10-01,1800287.0
2020-01-01,1789195.3
2020-04-01,1618038.2
2020-07-01,1736425.7
2020-10-01,1755377.0
2021-01-01,1791204.1
2021-04-01,1842362.6
2021-07-01,1867929.4
2021-10-01,1914207.5
2022-01-01,1931538.8
