DATE,RINQGSP
2005-01-01,43230.5
2005-04-01,44158.3
2005-07-01,44569.6
2005-10-01,45538.1
2006-01-01,45715.2
2006-04-01,47257.0
2006-07-01,48125.0
2006-10-01,47720.3
2007-01-01,47853.9
2007-04-01,47274.1
2007-07-01,47307.6
2007-10-01,46927.5
2008-01-01,47289.1
2008-04-01,47127.8
2008-07-01,47127.8
2008-10-01,47565.1
2009-01-01,46978.9
2009-04-01,47420.0
2009-07-01,47955.3
2009-10-01,48454.5
2010-01-01,48570.4
2010-04-01,49346.4
2010-07-01,49881.1
2010-10-01,50075.5
2011-01-01,49039.1
2011-04-01,50530.6
2011-07-01,50508.6
2011-10-01,50746.1
2012-01-01,51277.6
2012-04-01,51623.1
2012-07-01,51769.4
2012-10-01,51662.0
2013-01-01,52814.7
2013-04-01,52559.8
2013-07-01,53152.8
2013-10-01,53609.0
2014-01-01,53834.0
2014-04-01,54190.9
2014-07-01,54637.6
2014-10-01,55576.2
2015-01-01,55800.3
2015-04-01,56380.5
2015-07-01,56395.1
2015-10-01,56987.3
2016-01-01,56363.3
2016-04-01,57145.5
2016-07-01,58059.2
2016-10-01,57845.9
2017-01-01,57165.1
2017-04-01,57624.4
2017-07-01,58535.5
2017-10-01,58438.1
2018-01-01,58385.3
2018-04-01,59328.5
2018-07-01,59028.5
2018-10-01,59773.7
2019-01-01,60573.3
2019-04-01,61300.4
2019-07-01,61325.8
2019-10-01,62076.8
2020-01-01,61775.7
2020-04-01,56288.9
2020-07-01,61652.9
2020-10-01,62507.9
2021-01-01,62340.1
2021-04-01,65700.5
2021-07-01,66893.7
2021-10-01,68822.6
2022-01-01,69750.8
