DATE,VTNQGSP
2005-01-01,23452.1
2005-04-01,23421.2
2005-07-01,23647.8
2005-10-01,23913.4
2006-01-01,24319.8
2006-04-01,24312.8
2006-07-01,24408.5
2006-10-01,24285.0
2007-01-01,24359.9
2007-04-01,24672.2
2007-07-01,25018.7
2007-10-01,25140.0
2008-01-01,25820.0
2008-04-01,25938.0
2008-07-01,26153.7
2008-10-01,26085.3
2009-01-01,25890.7
2009-04-01,25800.2
2009-07-01,26136.3
2009-10-01,26569.5
2010-01-01,26754.8
2010-04-01,27325.8
2010-07-01,27758.2
2010-10-01,27787.6
2011-01-01,27788.3
2011-04-01,28260.1
2011-07-01,28421.7
2011-10-01,29204.5
2012-01-01,29053.7
2012-04-01,29591.5
2012-07-01,29379.9
2012-10-01,28939.9
2013-01-01,29331.6
2013-04-01,29251.7
2013-07-01,29130.9
2013-10-01,29444.0
2014-01-01,29279.5
2014-04-01,29805.9
2014-07-01,30458.4
2014-10-01,30853.7
2015-01-01,30657.1
2015-04-01,30800.9
2015-07-01,31127.3
2015-10-01,31147.7
2016-01-01,31386.1
2016-04-01,31550.5
2016-07-01,31820.1
2016-10-01,31888.0
2017-01-01,32098.3
2017-04-01,32081.9
2017-07-01,32300.9
2017-10-01,32506.6
2018-01-01,32777.6
2018-04-01,33129.2
2018-07-01,33019.5
2018-10-01,33204.4
2019-01-01,33858.4
2019-04-01,33757.1
2019-07-01,34336.6
2019-10-01,34557.9
2020-01-01,34688.1
2020-04-01,30758.4
2020-07-01,33896.7
2020-10-01,34396.6
2021-01-01,35032.1
2021-04-01,35702.8
2021-07-01,36301.6
2021-10-01,37643.9
2022-01-01,38425.0
